TIME,temp
7:04:06.88,42.4
7:05:06.70,42.54
7:06:10.48,42.47
7:07:06.87,42.58
7:08:06.76,42.5
7:09:10.88,42.33
7:10:06.89,42.27
7:11:07.04,42.18
7:12:07.56,42.16
7:13:10.87,42.22
7:14:06.83,42.26
7:15:11.45,42.32
7:16:07.26,42.24
7:17:06.87,42.38
7:18:07.57,42.42
7:19:07.85,42.03
7:20:10.95,42.04
7:21:06.96,42.08
7:22:10.63,42.19
7:24:07.85,42.03
7:25:07.46,41.91
7:26:08.33,41.81
7:27:07.12,41.81
7:28:11.73,41.83
7:29:10.73,41.78
7:30:08.66,41.97
7:31:07.63,42.14
7:32:07.13,41.96
7:33:07.23,41.6
7:34:07.45,41.64
7:35:07.44,41.77
7:36:07.71,41.75
7:37:09.51,41.49
7:38:08.81,41.37
7:39:07.61,41.5
7:40:09.04,41.37
7:41:08.40,41.72
7:42:08.29,41.74
7:43:07.42,41.89
7:44:08.29,41.9
7:45:10.69,41.96
7:46:10.22,41.95
7:48:08.41,41.63
7:49:09.72,41.36
7:51:08.12,41.51
7:52:11.59,41.54
7:53:09.52,41.35
7:54:08.88,41.57
7:55:08.11,41.72
7:56:08.70,41.48
7:57:07.49,41.41
7:58:08.51,41.32
7:59:07.52,41.51
8:00:07.60,41.7
8:01:07.61,41.96
8:02:09.10,42.01
8:03:10.30,42.07
8:04:07.68,42.19
8:05:09.66,42.24
8:06:08.30,42.02
8:07:10.10,42.18
8:08:08.28,42.31
8:09:11.40,42.26
8:10:07.68,42.2
8:11:08.76,42.18
8:12:08.59,42.25
8:13:08.06,42.18
8:15:11.18,42.28
8:16:08.89,42.2
8:17:08.27,42.27
8:18:09.10,42.32
8:19:10.35,42.17
8:20:07.87,42.17
8:21:09.35,42.22
8:22:08.54,42.07
8:23:09.48,42.25
8:24:11.14,42.18
8:25:07.88,42.31
8:26:08.26,42.3
8:27:10.67,42.19
8:28:11.03,42.31
8:29:08.24,42.33
8:30:10.43,42.31
8:31:12.05,42.24
8:32:08.86,42.39
8:33:08.25,42.42
8:34:12.72,42.31
8:35:08.25,42.22
8:36:08.06,42.18
8:37:08.72,42.1
8:38:08.34,42.2
8:39:08.33,42.22
8:40:09.54,42.12
8:41:08.16,42.09
8:42:12.83,42.14
8:43:08.74,42.18
8:44:08.17,42.28
8:45:08.73,42.1
8:46:08.21,42.06
8:48:09.63,42
8:49:08.33,41.9
8:50:09.33,41.82
8:51:09.12,41.81
8:52:11.63,41.78
8:53:09.12,41.88
8:54:08.35,41.92
8:56:08.41,41.66
8:57:12.42,41.63
8:58:09.82,41.65
8:59:09.19,41.75
9:00:09.89,41.6
9:01:09.10,41.85
9:03:08.99,41.81
9:04:09.39,41.9
9:05:08.58,41.88
9:06:13.12,42.02
9:07:08.61,41.86
9:08:08.78,42.08
9:09:09.13,42.19
9:10:11.09,42.15
9:11:08.60,42.08
9:12:08.79,42.2
9:13:12.69,42.3
9:14:08.68,42.22
9:15:12.07,42.18
9:16:08.71,42.05
9:17:09.08,42.23
9:18:09.98,42.2
9:20:08.78,42.16
9:22:08.75,42.08
9:23:08.87,42.27
9:24:08.98,42.17
9:25:09.97,42.13
9:26:10.87,42.16
9:27:12.16,42.27
9:28:10.89,41.65
9:29:08.87,41.85
9:30:13.49,41.87
9:31:12.38,41.71
9:32:08.90,41.79
9:34:08.95,42.04
9:35:09.57,41.87
9:36:11.05,41.99
9:37:09.86,41.94
9:38:09.45,42.11
9:39:09.25,41.99
9:40:11.66,41.93
9:41:09.43,42.2
9:42:13.55,42.2
9:43:09.34,42.17
9:44:10.93,42.27
9:45:09.95,42.29
9:46:12.85,42.04
9:47:09.23,42.23
9:48:09.26,42.18
9:49:09.17,42.36
9:50:09.53,42.33
9:51:09.21,42.52
9:52:12.43,42.43
9:53:09.24,42.4
9:54:10.05,42.5
9:55:10.22,42.11
9:56:10.00,42.43
9:57:09.29,42.45
9:58:12.60,42.4
9:59:11.52,42.42
10:00:09.50,42.34
10:01:11.52,42.4
10:04:12.13,42.35
10:05:13.20,42.4
10:06:10.83,42.21
10:07:10.92,42.32
10:08:13.70,42.11
10:10:11.00,42.46
10:11:13.99,42.5
10:12:11.90,42.22
10:13:09.61,42.47
10:14:10.40,42.52
10:15:10.28,42.11
10:16:13.19,42.41
10:17:12.68,42.49
10:18:12.50,42.42
10:19:09.79,42.37
10:20:09.88,42.34
10:22:11.29,42.31
10:23:09.70,42.37
10:24:10.48,42.48
10:25:09.77,42.48
10:26:09.73,42.38
10:28:09.99,42.33
10:29:09.77,42.49
10:30:09.77,42.48
10:31:10.19,41.91
10:32:10.07,42.29
10:33:10.10,42.44
10:34:10.27,41.6
10:35:10.88,42.15
10:36:12.38,42.34
10:37:10.97,42.45
10:38:10.67,42.27
10:39:14.28,42.36
10:40:10.16,42.04
10:41:10.77,42.14
10:42:14.65,42.15
10:43:10.35,42.2
10:44:12.84,42.38
10:45:10.27,42.27
10:46:10.14,42.59
10:47:10.07,42.65
10:48:10.03,42.83
10:49:12.76,42.77
10:50:12.85,42.5
10:51:10.09,42.64
10:52:11.83,42.52
10:53:10.11,42.39
10:54:10.46,42.29
10:55:15.06,42.31
10:56:10.16,42.57
10:57:11.13,42.24
10:58:11.52,42.58
11:00:11.33,42.24
11:01:10.44,42.61
11:02:11.46,42.61
11:03:14.42,42.23
11:04:14.44,42.5
11:05:14.53,42.7
11:06:10.67,42.7
11:07:10.57,42.64
11:08:10.94,42.53
11:09:10.44,42.6
11:10:10.63,42.43
11:11:12.92,42.71
11:12:10.41,42.49
11:13:13.22,42.46
11:14:13.69,42.5
11:15:11.63,42.83
11:16:10.51,42.4
11:18:11.52,42.61
11:19:11.34,42.35
11:20:10.72,42.58
11:21:11.60,42.72
11:22:10.90,42.81
11:24:10.84,42.56
11:25:10.61,42.71
11:26:10.70,42.61
11:27:10.66,42.69
11:28:10.64,42.51
11:29:10.68,42.52
11:30:11.81,42.56
11:31:11.50,42.55
11:32:11.62,42.96
11:33:10.97,42.76
11:34:15.58,42.73
11:35:11.51,42.7
11:36:11.48,42.82
11:37:11.67,42.58
11:38:13.36,42.81
11:39:14.46,42.75
11:40:11.28,42.79
11:41:13.50,42.82
11:42:12.89,42.63
11:43:11.66,42.82
11:44:10.89,42.79
11:46:11.18,42.67
11:47:12.65,42.75
11:48:11.05,42.66
11:49:11.35,42.37
11:50:11.27,42.39
11:51:11.16,42.95
11:52:12.79,43.02
11:53:11.57,42.74
11:54:11.64,43.22
11:55:13.95,43.11
11:56:12.06,42.83
11:57:12.23,42.54
11:58:11.10,42.77
11:59:11.11,42.5
12:00:14.14,41.91
12:01:12.35,42.46
12:02:11.24,42.72
12:04:11.19,42.81
12:05:14.76,42.86
12:06:11.93,42.93
12:07:11.86,42.75
12:08:12.02,43.04
12:09:12.54,42.94
12:10:12.11,43.18
12:11:11.83,43.17
12:12:15.03,42.73
12:13:13.26,42.88
12:14:11.34,43.2
12:15:12.03,42.94
12:16:13.42,42.13
12:17:11.53,42.69
12:18:11.74,42.87
12:19:11.45,42.87
12:20:13.11,42.44
12:21:11.71,42.68
12:22:12.10,43.07
12:23:12.21,43.07
12:24:12.90,42.88
12:25:11.51,42.92
12:26:11.53,43.26
12:27:11.91,43.01
12:28:11.62,42.68
12:29:11.61,42.94
12:31:11.61,43.27
12:32:11.62,43.37
12:33:12.78,43.28
12:34:12.51,43.34
12:35:13.81,43.1
12:36:11.69,43.25
12:37:13.72,43.3
12:38:12.42,43.05
12:39:11.71,43.12
12:40:11.72,43.03
12:41:12.30,43.12
12:42:12.20,42.66
12:43:11.79,42.81
12:44:12.01,42.79
12:45:14.20,43.03
12:46:11.81,42.64
12:47:12.70,43.18
12:48:11.84,43.11
12:49:15.52,42.49
12:50:14.37,43
12:51:13.87,43.33
12:52:11.96,43.38
12:53:12.56,43.2
12:54:12.38,42.73
12:55:13.35,42.98
12:56:12.16,43.31
12:57:13.45,43.11
12:58:12.02,42.75
12:59:12.03,43.35
13:00:12.18,43.39
13:01:12.25,43.46
13:02:14.47,43.22
13:03:12.08,43.16
13:04:12.38,43.33
13:05:12.08,42.6
13:06:14.54,42.99
13:07:13.95,43.04
13:09:12.16,43.28
13:10:12.63,42.8
13:11:12.27,42.52
13:12:14.15,43.13
13:13:12.63,43.29
13:14:12.75,43.03
13:15:12.25,42.84
13:16:13.33,43.39
13:17:15.46,42.89
13:18:13.06,43.26
13:19:13.74,43.09
13:20:14.44,43.5
13:21:12.33,43.2
13:22:12.36,43.27
13:23:12.53,43.57
13:25:12.63,43.65
13:26:16.03,43.01
13:27:13.96,43.38
13:28:13.60,43.05
13:29:13.66,42.74
13:30:13.94,42.95
13:31:17.10,42.48
13:32:15.40,42.48
13:33:13.03,43.25
13:34:12.83,43.6
13:35:16.71,43.2
13:36:13.49,43.06
13:37:14.52,43.45
13:38:12.82,43.05
13:39:17.33,43.03
13:40:13.20,43.11
13:41:14.22,42.6
13:42:12.92,43.03
13:43:12.90,42.98
13:44:14.09,43.1
13:45:14.71,42.34
13:46:12.81,42.97
13:47:15.88,43.12
13:48:16.18,43
13:49:13.90,43.22
13:50:12.82,43.1
13:51:15.97,42.96
13:52:13.67,42.42
13:53:15.17,42.53
13:54:13.20,41.98
13:55:12.96,43.3
13:56:13.77,43.47
13:57:12.87,42.5
13:58:14.19,42.58
13:59:13.07,42.64
14:00:16.98,43.24
14:01:13.08,42.99
14:02:13.69,42.87
14:03:15.78,42.34
14:04:16.56,42.69
14:05:13.11,43.46
14:06:13.15,43.81
14:07:15.66,43.87
